Lon,Lat
-76.70063019,37.45159531
-76.70500183,37.44916534
-76.70684814,37.443573
-76.71583557,37.44833374
-76.73722076,37.48638916
-76.77972412,37.51277924
-76.78387451,37.53722382
-76.79333496,37.53805542
-76.79084778,37.52734375
-76.80500031,37.5233345
-76.80501556,37.49941635
-76.76305389,37.48249817
-76.75944519,37.46111298
-76.74472046,37.43999863
-76.69527435,37.40333176
-76.67308044,37.367836
-76.66000366,37.36666489
-76.65442657,37.34642029
-76.61638641,37.30527878
-76.63388824,37.29694366
-76.60916901,37.29861069
-76.60305786,37.29138947
-76.58583069,37.2844429
-76.58050537,37.27867126
-76.60028076,37.2808342
-76.60083008,37.27555466
-76.58611298,37.2788887
-76.5533371,37.26833344
-76.52416992,37.24250031
-76.47250366,37.21666718
-76.48000336,37.21305466
-76.46971893,37.2136116
-76.47055817,37.20500183
-76.46444702,37.21749878
-76.42055511,37.22333145
-76.41747284,37.20803833
-76.44828796,37.20608521
-76.4302597,37.19870377
-76.41696167,37.20720673
-76.40749359,37.1962471
-76.40604401,37.20907593
-76.39385986,37.19939423
-76.39221954,37.18861008
-76.40027618,37.19416809
-76.39134216,37.18358994
-76.39360809,37.17416763
-76.40055847,37.1855545
-76.40277863,37.17750168
-76.4283371,37.19277954
-76.42610931,37.18361282
-76.45194244,37.17833328
-76.44499969,37.17361069
-76.42266846,37.18415451
-76.40677643,37.1723938
-76.41797638,37.15568542
-76.43222046,37.15638733
-76.42555237,37.15055466
-76.4355545,37.14472198
-76.43052673,37.13725281
-76.4458313,37.13805389
-76.44611359,37.13527679
-76.42500305,37.12888718
-76.4249649,37.14590836
-76.41851807,37.15044785
-76.41222382,37.13972092
-76.40003204,37.16098785
-76.39277649,37.14972305
-76.39250183,37.15722275
-76.37985992,37.15473557
-76.3841629,37.14722061
-76.37444305,37.15055466
-76.37065125,37.14294434
-76.36222076,37.13527679
-76.36528015,37.14027786
-76.35778046,37.14110947
-76.3686142,37.14333344
-76.36977386,37.15237045
-76.34999847,37.14749908
-76.35287476,37.15938187
-76.35999298,37.16274643
-76.36277771,37.1538887
-76.37527466,37.16083145
-76.35029602,37.17018509
-76.33777618,37.16833496
-76.34694672,37.16388702
-76.33361053,37.15416718
-76.34166718,37.15055466
-76.29383087,37.12637329
-76.30638885,37.10972214
-76.31694794,37.11527634
-76.31878662,37.10729599
-76.34444427,37.09972382
-76.35024261,37.11513138
-76.35648346,37.11129379
-76.36416626,37.1202774
-76.38050842,37.10913849
-76.36720276,37.11083221
-76.3658371,37.10055542
-76.35515594,37.10417175
-76.33675385,37.09114456
-76.34043121,37.07868195
-76.36182404,37.06422424
-76.36315918,37.05112457
-76.32778168,37.08081436
-76.32276154,37.09628677
-76.31083679,37.0933342
-76.3033371,37.0680542
-76.30695343,37.09357452
-76.28971863,37.09194565
-76.29444122,37.09833145
-76.28444672,37.09583282
-76.28539276,37.10478592
-76.27500153,37.09722137
-76.27023315,37.08777618
-76.30326843,37.00232697
-76.31441498,37.00086212
-76.3152771,37.01083374
-76.30444336,37.01083374
-76.29582977,37.03583145
-76.31808472,37.0125618
-76.34204865,37.02089691
-76.32444763,37.05222321
-76.34503174,37.03503036
-76.33869934,37.03324127
-76.34555817,37.01722336
-76.34027863,37.01583481
-76.34838867,37.0065155
-76.3841095,36.99290848
-76.41020966,36.96615219
-76.40916443,36.95916748
-76.43027496,36.9655571
-76.46255493,37.02550125
-76.5268631,37.06327438
-76.52861023,37.0680542
-76.52111053,37.08361053
-76.52222443,37.09111023
-76.52833557,37.08000183
-76.54247284,37.0881424
-76.56972504,37.12555695
-76.57066345,37.10870361
-76.55000305,37.08111191
-76.56377411,37.07806015
-76.59843445,37.11135101
-76.62833405,37.12611008
-76.60546112,37.16026306
-76.61528015,37.16222382
-76.60696411,37.16517258
-76.59703827,37.18006134
-76.60583496,37.18083191
-76.60654449,37.17024612
-76.61250305,37.17027664
-76.62577057,37.20147705
-76.65174103,37.22106552
-76.69416809,37.22555542
-76.70277405,37.21666718
-76.72666931,37.21250153
-76.75805664,37.21521759
-76.73472595,37.20277786
-76.75298309,37.18998718
-76.78043365,37.20859146
-76.79582977,37.23284912
-76.82019806,37.24295807
-76.8686142,37.24194336
-76.88166809,37.25666809
-76.90027618,37.24305725
-76.91557312,37.24249268
-76.91777802,37.23389053
-76.94042969,37.23685074
-76.98469543,37.27672577
-76.99055481,37.30361176
-77.01555634,37.3125
-77.07333374,37.27249908
-77.08027649,37.2808342
-77.0736084,37.30472183
-77.07917023,37.32083511
-77.07277679,37.32749939
-77.1277771,37.30944443
-77.14027405,37.31944275
-77.14389038,37.31305695
-77.13749695,37.3105545
-77.16416931,37.3097229
-77.20163727,37.32698822
-77.23083496,37.32749939
-77.2638855,37.32194519
-77.27055359,37.3097229
-77.25389099,37.29083252
-77.22721863,37.30027771
-77.22250366,37.3133316
-77.1911087,37.28499985
-77.16500092,37.29861069
-77.1202774,37.29583359
-77.09361267,37.30805588
-77.08416748,37.27249908
-77.06472015,37.26666641
-77.06388855,37.26027679
-77.05083466,37.26527786
-77.03555298,37.28722382
-77.01333618,37.29694366
-77.01444244,37.30305481
