Lon,Lat
-83.48438263,34.99459076
-83.62158966,34.98707962
-84.32096863,34.98904037
-84.28929901,35.22573853
-84.22789001,35.2678299
-84.20864105,35.26623917
-84.19924927,35.24847031
-84.18586731,35.24282074
-84.14959717,35.24834061
-84.12843323,35.24282074
-84.11579132,35.25307083
-84.09342957,35.25167084
-84.04532623,35.27735138
-84.02054596,35.29917908
-84.03605652,35.31816864
-84.03388214,35.35025024
-84.00845337,35.37434006
-84.01931,35.41220093
-83.96169281,35.46152115
-83.94744873,35.4609108
-83.90335083,35.48329163
-83.89834595,35.50091171
-83.87874603,35.51969147
-83.82417297,35.52635956
-83.76255798,35.56470108
-83.64087677,35.56779099
-83.60597229,35.58024979
-83.58116913,35.56496048
-83.49848175,35.56351089
-83.44892883,35.60784912
-83.39631653,35.62350082
-83.34443665,35.66270065
-83.29998779,35.65623093
-83.25792694,35.69392014
-83.25003815,35.72026062
-83.23116302,35.72916031
-83.18351746,35.72985077
-83.16223145,35.7625885
-83.12084961,35.7682991
-83.07427979,35.78942108
-82.98958588,35.77457047
-82.96389771,35.79298019
-82.92974854,35.83710861
-82.91767883,35.84128189
-82.91842651,35.86734009
-82.89640808,35.87567902
-82.91736603,35.9286499
-82.90229797,35.92621994
-82.8968277,35.94141006
-82.86482239,35.95170975
-82.83466339,35.93986893
-82.82103729,35.92544174
-82.80161285,35.92808914
-82.80129242,35.9405098
-82.77593994,35.97052002
-82.7771759,35.99462128
-82.64042664,36.06438065
-82.63025665,36.06407166
-82.58988953,36.03187943
-82.61403656,36.00175095
-82.60331726,35.98495102
-82.60764313,35.96947861
-82.5605011,35.95542145
-82.50662231,35.97700119
-82.46031952,36.007061
-82.40696716,36.08708191
-82.35263824,36.11722946
-82.33201599,36.11748123
-82.29419708,36.13311005
-82.26859283,36.12565994
-82.24488831,36.13336945
-82.2125473,36.15869141
-82.18197632,36.14543152
-82.14984894,36.14670181
-82.1263504,36.10462952
-82.07962036,36.1044693
-82.05542755,36.12273026
-82.03202057,36.12105179
-81.90592194,36.3015213
-81.83966064,36.34331894
-81.79615784,36.35964966
-81.7689209,36.34038925
-81.70897675,36.33871078
-81.72406006,36.35527039
-81.7389679,36.4072113
-81.71806335,36.43074036
-81.71356964,36.45917892
-81.69689178,36.46860123
-81.70812225,36.53479004
-81.67900085,36.57278061
-81.67576599,36.58901215
-81.36976624,36.57347107
-80.27754211,36.54333878
-79.51119995,36.53913879
-76.15270233,36.55038071
-76.15453339,36.54014206
-76.14652252,36.53413391
-76.12915802,36.53688812
-76.12202454,36.52589035
